"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_DES_RA_TERRITORYHQKIT","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Предотвращает деспаунинг базы.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.","Prevents your base from despawning.",
"STR_RA_CRAFT_BLUEPRINT","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Создать чертеж для строительства","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint","Turn into Blueprint",
"STR_RA_CHANGE_BLUEPRINT","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint","Изменить чертеж","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint","Change Blueprint",
"STR_RA_REMOVE","Remove","Remove","Remove","Remove","Разобрать","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove",
"STR_RA_ROTATE","Rotate","Rotate","Rotate","Rotate","Повернуть","Rotate","Rotate","Rotate","Rotate","Rotate","Rotate","Rotate","Rotate","Rotate",
"STR_RA_CANNOTUPGRADE_ENEMYTERRITORIES","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Невозможно улучшить (чужая территория)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)","Cannot Upgrade (Enemy Territory)",
"STR_RA_CANNOTUPGRADE_NOBUILDZONE","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Невозможно улучшить (запрещенная зона)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)","Cannot Upgrade (No Build Zone)",
"STR_RA_CANNOTUPGRADE_NOMATERIALS","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Невозможно улучшить (не хватает материалов)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)","Cannot Upgrade (Insufficient Materials)",
"STR_RA_CANNOTUPGRADE_HEIGHTLIMIT","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Невозможно улучшить (лимит высоты)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)","Cannot Upgrade (Height Limit)",
"STR_RA_CANNOTUPGRADE_LOCKED","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Невозможно улучшить (закрыто)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)","Cannot Upgrade (Locked)",
"STR_RA_UPGRADETO","Upgrade to","Upgrade to","Upgrade to","Upgrade to","Улучшить до","Upgrade to","Upgrade to","Upgrade to","Upgrade to","Upgrade to","Upgrade to","Upgrade to","Upgrade to","Upgrade to",
